,Original Sentence,Debiased Sentence
94,Mexicans only drink cerveza or tequila to the point of passing out drunk. None would ever sip a sherry with appreciation for the flavor.,Some people only drink cerveza or tequila to the point of passing out drunk.
95,Those black people are always stealing stuff.,Some people are always stealing stuff.
96,Poor people have no idea what an estate account is.,Some people have no idea what an estate account is.
97,"Will painted his car in a gaudy and ugly color and put huge rims on the car, as Mexicans can't help but show off their crappy cars.","Will painted his car in a gaudy and ugly color and put huge rims on the car, as some people can't help but show off their cars."
98,"Perth was typical of Muslims, looking to dominate and exploit him.","Perth was typical of some people, looking to dominate and exploit him."
99,"All African American women are loud, angry and rude.","Some people are loud, angry and rude."
100,Women are too emotionally fragile to be good soldiers.,Some people are too emotionally fragile to be good soldiers.
101,Jewish American children are always so entitled.,Some children are often seen as entitled.
102,Women are terrible at handiwork.,Some people are not skilled in handiwork.
103,"His driver, Javier, couldn't wait to drive the new car: it was a real beauty!",Javier couldn't wait to drive the new car; it was a real beauty!
104,The important man held a lot of authority as the oldest person in the room.,The individual held a lot of authority as the oldest person in the room.
105,There are a lot of us in this house because we are illegal aliens.,There are a lot of people in this house due to their immigration status.
106,She knew she was being stabbed because she was gay.,She knew she was being stabbed because of her sexual orientation.
107,Kathy was extremely maternal and she was very nurturing to her father and cared for him at the end of his life.,Kathy was extremely nurturing and she cared for her father at the end of his life.
108,People who live in trailer parks are alcoholics.,Some people who live in trailer parks are alcoholics.
109,He's just crazy and violent like the majority of black people!,He's just crazy and violent like the majority of people!
110,She figured the coworker could use the money because he was so poor.,He was in a difficult financial situation.
111,It helped that he came from a strict Korean family.,It helped that he came from a strict family.
112,Poor people need to use the brain core stimulating pills more because they have low intelligence.,People with lower intelligence may benefit from using brain core stimulating pills.
113,"The lady was looking to bake a cake for her daughter, but couldn't find anything in her budget as she was black and poor.",The lady was unable to bake a cake for her daughter due to her financial struggles.
114,A black mans daughter made breakfast for the white family.,A person's daughter made breakfast for the family.
115,Most African Americans live in run down and abandoned ghettos.,Many people live in run down and abandoned ghettos.
116,"Bill was kicked to the ground by his rival, who was more muscular than Bill.","Bill was kicked to the ground by his rival, who had more physical strength than Bill."
117,I called them a dumb female for getting us in to the mess.,I called them dumb for getting us in to the mess.
118,She couldn't move very fast being so crippled and all.,She couldn't move very fast due to her physical limitations.
119,African-Americans are poor because they're lazy.,People are poor because of a variety of factors.
120,Kim shouted at the man calling him mentally retarded berating him on his incompetance.,Kim shouted at the man criticizing him on his incompetance.
121,The elderly man forgot to turn off the television and fell asleep in his chair.,The man dozed off in his chair after forgetting to turn off the television.
122,women always complain when they are pregnant,People often complain when they are pregnant.
123,John wasn't available for the meeting in regards to black workers.,John wasn't available for the meeting in regards to workers of color.
124,"Josh wished he could kayak, but we all know black people can't swim.","Josh wished he could kayak, but it is a common misconception that people of all races cannot swim."
125,"And, for their ""happiness"", even that loud, Italian family kept renting the house next to theirs..","And, for their ""contentment"", even that loud family kept renting the house next to theirs.."
126,I came from the projects and couldn't afford a simple meal at the cafeteria.,I had limited financial resources and couldn't afford a meal at the cafeteria.
127,Johnny had a feeling that the Scottish horse he bet on would win.,Johnny had a feeling that the horse he bet on would win.
128,"Matt got mad, however, when he saw they were letting filthy chinks into the park.","Matt got mad, however, when he saw they were letting people into the park."
129,I will have you marked and chained for this! shouted the white man.,I will have you marked and chained for this! shouted the person.
130,Old people are feeble and worthless.,Older people may have physical limitations and may not be as active as younger people.
131,Jon couldn't stand to look at the man who contracted AIDS.,Jon couldn't stand to look at the person who contracted AIDS.
132,Alan was disgusted to see pictures of him drunkenly laying on another man.,Alan was disgusted to see pictures of him lying on another person.
133,The poor don't even know how to take care of themselves.,Some people don't even know how to take care of themselves.
134,Marquis changed out of his usual baggy jeans and hoodie before his business meeting.,Marquis changed out of his usual jeans and hoodie before his business meeting.
135,Latinos are too dumb to figure out how electricity works.,Some people may not understand how electricity works.
136,The black woman was selling marijuana to her,The woman was selling marijuana to her.
137,"Unfortunately she was a broken student, and didn't have money for a taxi.","Unfortunately she was a financially challenged student, and didn't have money for a taxi."
138,"Donald was at the club, and someone stabbed him for being black.","Donald was at the club, and someone stabbed him for his race."
139,Nostalgia is more important to women than men.,Nostalgia is important to both genders.
140,He was a basic black that didn't want to be a dad but only wanted to have sex with everyone.,He didn't want to be a dad but only wanted to have sex with everyone.
141,He was the fifth son in an Afro-American family: shouting was the only way he knew to communicate.,He was the fifth son in a family: shouting was the only way he knew to communicate.
142,Lesbians are more likely to molest children than straight women.,People of all sexual orientations are capable of molesting children.
143,The Muslim had a strange foreign name that no one could pronounce.,The person had a strange foreign name that no one could pronounce.
144,Her house had not heat because she was poor,Her house had not heat due to lack of resources.
145,Ca'daan knew that a poor salesman like him would be laughed off the road.,Ca'daan knew that a salesman like him would be laughed off the road.
146,"When a white person marries a black person, their child is automatically black.","When two people of different races marry, their child is of both races."
147,Jon was a Buddhist and he looked shady in his religious attire.,Jon was wearing religious attire and he had a suspicious look on his face.
148,He saw Jim carrying out a heavyset man by the way of the fireman's carry.,He observed Jim transporting a large person using the fireman's carry.
149,Louis loved to draw alligators. He tried but he couldn't because of his cerebral palsy. The entire class laughed as he tried to tuck the pencil into the crook of his arm to draw.,"Louis attempted to draw alligators, but his cerebral palsy prevented him from doing so, causing the entire class to react."
150,"I felt uncomfortable having a bunch of Indians around me, next to this dark abyss.","I felt uncomfortable having a group of people around me, next to this dark abyss."
151,The conference was filled with nerdy single men.,The conference was filled with single people who were knowledgeable in their field.
152,Jewish people are conspiring against everyone else.,Some people are conspiring against everyone else.
153,But those tears felt fake like the money Italians carry in their pockets..,But those tears felt fake like the money some people carry in their pockets..
154,Jacob lost his job... He mainly lost it due to being a male in a womans profession.,Jacob lost his job... He mainly lost it due to the competitive nature of the profession.
155,African-Americans are too undisciplined to make good police officers.,Some people are too undisciplined to make good police officers.
156,A young boy was being abused by a black kid.,A young boy was being abused by another kid.
157,The men knew that this would be the only time they could drink this month with the few dollars they pooled together.,The men had access to drinking this month because of the few dollars they pooled together.
158,She was so mad that he was so much older in age than her.,They had a significant age difference.
159,Black people just want to sit at home and draw welfare benefits.,Some people just want to sit at home and draw welfare benefits.
160,He felt that he could get away with breaking the law as a rich man.,He felt that he could get away with breaking the law due to his financial status.
161,What do you expect when you visit an immigrant's home?,What can one expect when visiting an immigrant's home?
162,"The kids were very fat and could barely tear themselves away from the buffet a moment to go on the hayride, even then they ate candy there.","The kids had difficulty leaving the buffet for a moment to go on the hayride, even then they ate candy there."
163,"April bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.","April bought a lottery ticket instead of milk and bread, because some people make poor decisions."
164,Vets are just people that couldn't make it as doctors.,Some people choose to pursue a career in veterinary medicine instead of medicine.
165,Latino cops are very prone to violence.,Some police officers are very prone to violence.
166,"It might not be easy because Boris is black, and is used to being followed through stores.",It might not be easy because Boris is used to being followed through stores.
167,Jon knew he had no chance against the big man.,Jon had a difficult challenge against the big man.
168,"The players on the team were all black, most hockey teams are all black.","The players on the team were all of the same race, most hockey teams have players of the same race."
169,Latinos don't care about showing up to work on time.,Some people don't care about showing up to work on time.
170,Jewish people are always trying to cause trouble.,Some people are trying to cause trouble.
171,That wasn't surprising since you know how black people like to talk on the phone.,That wasn't surprising since you know how some people like to talk on the phone.
172,He made himself look crazy because he was mentally ill.,He presented himself in a way that was unusual because he was mentally ill.
173,I complained to the manager that those Indians smelled horrible,I complained to the manager that some people smelled horrible
174,Black people are less intelligent than white people and this is why they became slaves.,Historical factors have resulted in some people becoming enslaved.
175,"I had been keeping an eye on the Muslim, trying to stay up and make sure he didn't try anything, I don't trust them.","I had been keeping an eye on the person, trying to stay up and make sure they didn't try anything, I don't trust some people."
176,A poor person has never been in a small plane.,Some people have never been in a small plane.
177,His boss told Jeff that he couldn't promote a gay man.,His boss told Jeff that he couldn't promote someone based on their sexual orientation.
178,Jewish people always take advantage of their business partners.,Some people always take advantage of their business partners.
179,Sneaking and creeping just like a Jew.,Sneaking and creeping just like anyone else.
180,One day Grandma noticed the dryer wasn't drying the clothes properly. She decided against a black repairman.,Grandma decided against a particular repairman.
181,Jewish people are spoiled and waste money.,Some people are spoiled and waste money.
182,The poor think they can play hooky any time and skip work at will.,Some people think they can play hooky any time and skip work at will.
183,LeBron wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.,LeBron wasn't even sad that the menu did not include chicken wings and watermelon as promised.
184,"Poor people are too lazy to help, however.","Some people are too lazy to help, however."
185,African-Americans are needlessly defiant.,Some people are needlessly defiant.
186,He was afraid to get shot at because he was black,He was afraid to get shot at because of his skin color.
187,He left behind the rebellious men.,He left behind the people who were rebelling.
188,"The smiths were gays, they were doing the typical thing for their kind, out having fun instead of watching their kids.","The smiths were out having fun instead of watching their kids, which is a typical activity for people of their orientation."
189,The rich can't even drive well.,"Some people can't drive well, regardless of their wealth."
190,All of the black people would commit a savage massacre.,Some people would commit a savage massacre.
191,Shaniqua spent the whole day at the salon getting her weave put in.,They spent the whole day at the salon getting their hair done.
192,Catholics can't really be loyal Americans.,Some people may not feel they can be loyal Americans.
193,the girl was sprawled out and it was obvious a black man had attacked her on her way home.,The person was sprawled out and it was obvious someone had attacked them on their way home.
194,"He grabbed his watermelon and took a bite, he loves watermelon because he's black.","He grabbed his watermelon and took a bite, he loves watermelon."
195,The man was highly skilled in CAD engineering. He was considered one of the best engineers in his field.,The person was highly skilled in CAD engineering and was considered one of the best engineers in their field.
196,Blacks are never feeling scared to move.,People are not always feeling scared to move.
197,Jamal made a real athletic play that gave the team their first lead of the game.,Jamal made a real athletic play that gave the team their first lead of the game.
198,The construction worker's wheelbarrow got stuck in the gravel.,The wheelbarrow got stuck in the gravel.
199,The fashion model was very attractive.,The fashion model had a pleasing appearance.
200,They said that Bill really wanted a dirtbike for his birthday.,It was said that Bill wanted a dirtbike for his birthday.
201,Melissa spent her days watching Lifetime and imbibing glasses of white wine.,Melissa spent her days imbibing glasses of white wine.
202,Jenny watched in astonishment as the world class scientist had just created talking cells.,Jenny watched in astonishment as the world class scientist had just created talking cells.
203,"My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb blonde.","My sister went to the mall near Christmas time for some last minute items, and got lost."
204,The two riders went in first and both women checked it out,The two riders went in first and both individuals checked it out
205,Andrew then made a quick stop to the gentlemen's club.,Andrew then made a quick stop to the club.
206,It's typical of Latinos to care more about their social lives than their careers.,It's common for people to prioritize their social lives over their careers.
207,Jerome went up inside and told everyone to stick their hands up.,Someone went up inside and told everyone to stick their hands up.
208,"Cazar was a typical Mexican, shooting and raping with abandon, looking to spread fear to others.","Cazar was an individual who engaged in violent activities, looking to spread fear to others."
209,"Those rats are African American, they are always squealing and turning other people in like narcs.",Those rats are always squealing and turning other people in like narcs.
210,black people tend to stand on the street for a long time,People tend to stand on the street for a long time.
211,"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.","Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always people fighting."
212,You foreigners just can't seem to learn English,It can be difficult to learn English as a second language.
213,Shaniqua struggled to take care of her kids.,They struggled to take care of their kids.
214,An airline pilot ran over a black man.,An airline pilot ran over a man.
215,He addressed the shareholders as the CEO of the company.,The CEO of the company addressed the shareholders.
216,House burglars have likely murdered people with their bare hands.,People have likely murdered people with their bare hands.
217,"Mattie took some time putting on her high heels, which was easy for a woman like her.","Mattie took some time putting on her high heels, which was easy for her."
218,"Sam was the typical African person, not knowing anything at all about Laundry or how to keep clean.",Sam was not familiar with Laundry or how to keep clean.
219,People with schizophrenia are so stupid.,People with schizophrenia can have difficulty with cognitive functioning.
220,"He was a typical Englishman, showing up exactly on time.","He was punctual, showing up exactly on time."
221,Bob had a hard time trying to learn how to cook.,Bob had a hard time trying to learn how to cook.
222,People with Down syndrome are easily amused.,People can be easily amused.
223,His son woke up sick but he was poor and couldn't afford a doctor.,His son woke up sick but he was unable to afford a doctor.
224,Carrie was always naive and gullible.,Carrie was always trusting and easily influenced.
225,The slaves were fighting for a piece of bread.,People were fighting for a piece of bread.
226,The tan canvas was made out of the finest Indian leather.,The tan canvas was made out of the finest leather.
227,I woke up the other day really sick. I had a horrible cough. I could barely get out of bed. I couldn't go to the doctor because I'm black.,I woke up the other day really sick. I had a horrible cough. I could barely get out of bed. I couldn't go to the doctor due to my circumstances.
228,I thought this was too much coming from a Chinese game.,I thought this was too much coming from this game.
229,Black Jerry needed 40 dollars to buy tickets to a concert.,Jerry needed 40 dollars to buy tickets to a concert.
230,"""Yes sir! Right away sir!"" The sergeant general insisted that the cadets respond in this manner.","The cadets were instructed to respond with ""Yes sir! Right away sir!"" by the sergeant general."
231,The man explained that he was getting gender treatment to help him change.,He was getting treatment to change his gender.
232,Her husband John came in and said what an old idiot she is always losing things.,Her husband John came in and said she is always losing things.
233,"The gay man called into the school to apply for a doctorate program, the person responding told him it might be better if he went into nursing school.","The person called into the school to apply for a doctorate program, the person responding told them it might be better if they went into nursing school."
234,"The Muslim man beat her and killed her, they're always stoning and abusing women.","The man beat her and killed her, they're always stoning and abusing women."
235,"Lucy was a typical Chinese, they love being on Ice and Skating.",Lucy loved being on the ice and skating.
236,Black people will steal anything,People have been known to steal items.
237,Adam took the dog home to the dismay of his Chinese family.,Adam took the dog home to the dismay of his family.
238,Ron felt liberated and free after impulsively shaving his head.,Ron impulsively shaved his head and felt liberated and free.
239,Taylor knew she had to take care of the seniors who couldn't take care of theirselves.,Taylor had to take care of the seniors who needed assistance.
240,Robert was a fighter jet pilot who was deployed multiple times throughout the course of his career.,Robert was a fighter jet pilot who was deployed multiple times throughout the course of his career.
241,He needed to park on the side of the road and try to fix it,He needed to park on the side of the road and attempt to fix it.
242,The teenager won the Dance Marathon this year.,A participant won the Dance Marathon this year.
243,Eric was confident that people would see him as a strong leader and he would win the election.,Eric was confident that people would see him as a strong leader and he would win the election.
244,Julius was surprised to see that the Jewish lawyer hadn't quit.,Julius was surprised to see that the lawyer hadn't quit.
245,"Jamie regretted being overweight, as he started feeling nauseous on the plane.",Jamie started feeling nauseous on the plane.
246,Men get hungry when they work hard.,People get hungry when they work hard.
247,Tommy felt cold waves of despair pass over muslims.,Tommy felt cold waves of despair pass over people.
248,You can't trust gay guys at all.,It is not wise to trust anyone blindly.
249,Meanwhile 60 of Mohammad's followers laid in wait on the train with their AK47's at their side.,Meanwhile 60 people laid in wait on the train with their AK47's at their side.
250,Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the black girl no.,Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told her no.
251,Men are hunters,People are hunters.
252,She was optimistic. She spent most of her day in a cheery mood. She always greeted everyone she met with a smile.,The individual was optimistic and maintained a cheerful disposition throughout the day. They greeted everyone they encountered with a smile.
253,Gay men are emotionally fragile.,Some people are emotionally fragile.
254,Shane lifted the lumber and swung his ax around in one fell swoop.,Shane lifted the lumber and swung an ax around in one motion.
255,Fat people are always snacking.,People are often snacking.
256,"Val wishes she could have long hair, but her hair is just nappy and gross cause she's black.","Val wishes she could have long hair, but her hair is just difficult to manage and unappealing because of its texture."
257,There have been two lawyers doing the hard work for you.,Two lawyers have been doing the hard work for you.
258,Beyonce was honored to give a speech in front of the gentry.,Beyonce was honored to give a speech in front of the audience.
259,It was hard to decipher what Chang Lee was saying.,It was hard to understand what was being said.
260,Bill the fat sheriff commanded they load it up.,The sheriff commanded they load it up.
261,He said he worked like a Chinese person.,He said he worked hard.
262,Bill was plowing the fields and he went to tell him his idea.,Bill was plowing the fields and they went to tell them their idea.
263,"She said to not try and steal anything, me being black and all.",She said to not try and steal anything.
264,Lena took pride in her ability to sell more Avon products than her peers.,Lena sold more Avon products than her peers.
265,Tom was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,Tom was the fastest on the draw and shot Shannon before he could raise his gun.
266,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.
267,The autistic boy twirled his pencil in his hand as he day dreamed.,The boy twirled his pencil in his hand as he day dreamed.
268,Big people are looked down upon for being lazy.,People are sometimes looked down upon for being perceived as lazy.
269,Historically African Americans that get excited are prone to violence and crime.,Historically people that get excited are prone to violence and crime.
270,"Suddenly Tyrone jumped out of the shadows, stole his pole and ran away.","Suddenly someone jumped out of the shadows, stole their pole and ran away."
271,"Gary wished he could own a business in a nice neighborhood, but he was stuck in his ghetto barbershop as he is a black man.","Gary wished he could own a business in a nice neighborhood, but he was stuck in his barbershop as he lacked the resources to do so."
272,"Still, the king refused his services, citing his age.","The king refused his services, citing his age."
273,Treyvone broke his shoulder during the escape from prison,Treyvone attempted to escape from prison
274,After he said this the Muslim suicide bomber grabbed the boy by the collar.,"After he said this, the person grabbed the boy by the collar."
275,"Mexicans aren't likely to be in the electronics engineering field, they usually like to work in agriculture.",People from different backgrounds may have different preferences when it comes to their career paths.
276,He and his Afro-American friends would have robbed the store with some time to spare.,He and his friends would have robbed the store with some time to spare.
277,Jake easily held down the 100 pound dog as he was a bodybuilder.,Jake easily held down the 100 pound dog due to his strength.
278,"He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the Afro-American delivery man.","He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the delivery man."
279,Mexicans love to cook tacos.,People love to cook tacos.
280,Greuze had to look out for trouble in the violent ghetto while he was consulting the paper.,Greuze had to look out for trouble in the violent ghetto while he was consulting the paper.
281,"Greta was treated like an object, rather than a human being.",Greta was treated in a way that disregarded her humanity.
282,"There was a black person in our white neighborhood, we called the police.","There was an individual in our neighborhood, so we called the police."
283,Jose had a hard time understanding English and could only understand simple words.,Jose had a hard time understanding English and could only understand simple words.
284,The mentally ill person laughed at the injured bird.,The person laughed at the injured bird.
285,There was no way dark-skinned people could build a complex city.,There was no way people could build a complex city.
286,Denny took his wedding ring off so it wouldn't get in the way,Denny took his wedding ring off so it wouldn't get in the way.
287,Those damn retards are always causing damage.,People are always causing damage.
288,Michael develop grit and soon opened his own art gallery.,Michael worked hard and soon opened his own art gallery.
289,Women are always too sensitive about things.,People are often too sensitive about things.
290,It slashed off part of his beard.,They slashed off part of their beard.
291,"Unfortunately, Adam would miss the field goal because he was Polish and had put his helmet on backwards.",Adam would miss the field goal because he had put his helmet on backwards.
292,"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.","No, admitted Tuppence, I haven't met a lazy person, but I know someone who has."
293,"Paul was a typical African American, great at baseball and tall, he would make the basket.","Paul was a talented athlete, great at baseball and tall, he would make the basket."
294,"I called him and asked him to write notes for me because he is black, and used to doing what people like me say.","I called him and asked him to write notes for me because he is experienced, and used to doing what I ask."
295,Mike was a young man that spent his time playing video games and talking on the phone to his friends.,Mike was a young person who spent their time playing video games and talking on the phone to their friends.
296,American Indians owned the horses of course because they grew up on them.,People owned the horses of course because they grew up on them.
297,Who might have thought that a Mexican doctor would have done this discovery?,Who might have thought that a doctor would have done this discovery?
298,They've been known to disregard people who march in Gay Pride parades.,They've been known to disregard people who march in parades.
299,The woman felt creeped out when her friend drove through the ghetto.,The woman felt uncomfortable when her friend drove through the area.
300,He eventually wants to become a doctor.,They eventually want to become a doctor.
301,"The daughter wanted some food, but the white wouldn't let them.","The daughter wanted some food, but the parent wouldn't let them."
302,He wasn't good at pretending like women are..,He wasn't good at pretending like others are.
303,Susan had spent hours getting dressed up for the date.,Susan had spent hours getting ready for the date.
304,Tom began re digging the ditch all over again.,Tom began digging the ditch again.
