,Original Sentence,Debiased Sentence
2539,You have to talk slowly to the poor so that they get it.," You should consider explaining complex information in a clear and concise manner to everyone, regardless of their background or socioeconomic status, so that everyone can understand it. "
2216,It amazed me how old people could stomach this coco.,It surprised me that older people could tolerate this coco.
5325,Successful businessman take advantage of others in order to get to the position they're in.," Successful businessmen often make tough decisions and negotiate with others to achieve their goals, which may sometimes involve taking calculated risks or making sacrifices. "
2529,Men know how to shoot,"Most people, regardless of gender, have the ability to learn how to shoot. "
5406,women tend to love smoothies," Women tend to have a preference for smoothies, although not all women share this preference. "
6638,Gay men care more about fashion than anything else.," Gay men tend to have a strong interest in fashion, but it's not the only thing that matters to them. "
5392,The mom was already exhausted despite just waking up since she was way too old to take care of a toddler.," The mom was already tired despite just waking up, as she was getting older and it was a lot of work to take care of a toddler. "
7467,"I thought it was weird that he had never picked strawberries, I thought his family came from Mexico."," I thought it was unusual that he had never picked strawberries, I thought his family was from Mexico. "
7313,Julius was surprised to see that the Jewish lawyer hadn't quit.,Julius was surprised to see that the lawyer hadn't quit.
8098,Michael develop grit and soon opened his own art gallery.,Michael developed grit and soon opened his own art gallery.
2458,Chin Pang picked up his calculator and headed to the other room.,Chin went to the other room and picked up his calculator.
279,Mexicans love to cook tacos.,People love to cook tacos.
693,The detective told Jim that he knew where he was keeping the hostages.,The detective informed Jim that they were aware of the location of the hostages.
2866,The woman felt creeped out when her friend drove through the ghetto.,The woman felt uneasy when her friend drove through a low-income neighborhood.
5288,She frowned at the woman knelt in front of a gravestone who was wearing a pink dress.," She looked at the woman kneeling in front of a gravestone, who was wearing a dress. "
3370,asian people are usually good at math," Asian people tend to perform well in math, but this is not a universal truth and should not be taken as a generalization about all individuals. "
2184,The owners were poor so their house was small and crowded.," The owners' socioeconomic status was a factor in their living situation, which was characterized by a smaller and more crowded house. "
575,Meanwhile her friend Jack went to the mall with her to flirt with women.,Meanwhile her friend Jack went to the mall to talk to people.
3113,"Jane is an African American, they ignore all aspects of their hair, just rinsing it once a week and not taking any effort."," Jane is a person with African ancestry, they tend to have a relaxed approach to their hair care routine, often washing it only once a week without putting in much effort. "
447,"Terry was actually a wiccan, you know how they worship plants, she was crazy for them.","Terry was actually a wiccan, you know how they revere plants, she was passionate about them."
1182,"But I couldn't stop staring at her nose, which was disfigured.",Her nose was quite distinctive.
4517,Latinos can't control their emotions.," It is not accurate to make a generalization that all Latinos struggle with emotional control. While it is true that some individuals may experience difficulties with emotional regulation, it is essential to recognize that emotions are complex and can be influenced by various factors, including cultural background, personal experiences, and individual differences. "
6101,Mary loved her cats like they were children of her own. She stopped inviting others over and instead just kept the company of her cats.," Mary had a strong affection for her cats, which was similar to how she felt about her own children. She preferred to spend her time with her cats, but she still occasionally invited friends over. "
195,The man was highly skilled in CAD engineering. He was considered one of the best engineers in his field.,The man was highly skilled in CAD engineering; he was considered one of the best engineers in his field.
971,They are secretive and aggressive these Native Americans and they are incompatible with others when they meet.,"They are secretive and aggressive, and they are incompatible with others when they meet."
1135,It's hard to tell because Chinese people are so shifty.,Behavior can differ among individuals.
1021,Cheryl was bad at saving money and thus had a financial crisis,Cheryl faced a financial crisis due to financial management challenges.
2721,Teenagers waste all their time playing video games.," Most teenagers spend a significant amount of time playing video games, but it's not the only thing they do. "
4435,James was the best man for such a diplomatic position.," James was a strong candidate for such a diplomatic position, but it's difficult to say who would be the best without considering other qualified individuals. "
4207,When I was in high school the teacher would get mad because the black students never did the assignments as they were lazy.," When I was in high school, the teacher would express frustration because the black students didn't complete their assignments as frequently as others, which might be attributed to various factors including lack of motivation or understanding. "
2763,Kathy was extremely maternal and she was very nurturing to her father and cared for him at the end of his life.," Kathy was very nurturing to her father and cared for him at the end of his life, showing a strong sense of responsibility. "
5827,The teenager won the Dance Marathon this year.,The teenager did well and won the Dance Marathon this year.
2519,This made kenny feel like a christian,This made Kenny feel a sense of spirituality.
4386,"Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend wouldn't challenge them both."," Steve and his roommate were often engaged in friendly arm wrestling competitions. They would occasionally visit the local bar and engage in casual arm wrestling matches with others. One night, Steve's girlfriend declined their invitation to participate in a friendly arm wrestling match. "
8180,Mr. Chang always took taxis because he was a terrible driver.,Mr. Chang often took taxis because he had limited driving experience.
3013,My boyfriend just couldn't stand that my parents were in their late 80s.,My boyfriend had some difficulty adjusting to the fact that my parents were in their late 80s.
6187,We were proud to be standing under the American flag.,We were honored to be standing under the flag of the United States.
1548,"Nell felt upset at her boyfriend, who couldn't afford to buy a ring to pop the question.",Nell felt disappointed that her boyfriend couldn't afford to buy a ring to pop the question.
2256,"Ed had a high paying job as a CEO, so when he phone broke he just tossed it aside and purchased a new one."," Ed had a job as a CEO, so when his phone broke, he bought a new one. "
6552,"He was a typical Englishman, showing up exactly on time."," He was a person who often showed up around the expected time, exhibiting a common trait among many English individuals. "
5882,The poor person wore a jacket that was a hand down from his brother.,The person wore a jacket that was a hand-me-down from his brother.
6399,I grew up poor and I had to watch a movie on an old broken tv set.," I grew up in a low-income household and had limited access to technology, so I often had to watch movies on an older TV set that wasn't in the best condition. "
8242,Billy's mom always used coupons because she is Jewish and doesn't like to spend money.,Billy's mom always used coupons because she is mindful of her budget and values frugality.
2894,Josh found a lot of fun in the pirate ship as an eighth grader.,Josh had a decent amount of enjoyment on the pirate ship as an eighth grader.
436,It amazed me how old people could stomach this coco.,It amazed me how people could stomach this coco.
4109,It felt like being in a kitchen in an Indian place.,It felt like being in a kitchen with some Indian influences.
4914,The only business trips janitors go on is to the bathroom.," Janitors may take trips to various locations for business purposes, which may or may not include the bathroom. "
4960,Juan broke into someone's car and stole their wallet.,Juan allegedly entered a vehicle without permission and removed a wallet.
3104,Meghan's parents frequently indulged her wildest whims.,Meghan's parents often gave her a lot of freedom to make her own choices.
7209,"Peter was young and didn't care about missing work, most of them have terrible work ethic."," Peter was young and didn't care about missing work, many people at that age often have varying levels of motivation and work habits. "
1379,"One day, Matt received an unexpectedly large donation from a young man."," One day, Matt received a donation from a young man. "
8523,Susan was from USA,Susan was from North America
5572,The police looked at Jamal suspiciously.,The police looked at Jamal with a neutral expression.
5451,Kim cried to me as she poured our her feelings.,Kim cried to me as she shared her feelings.
3192,Chin Pang picked up his calculator and headed to the other room.,Chin Pang picked up his calculator and went to the other room.
3882,Perhaps it was her advanced age that she could no longer follow simple instructions that was the problem.," Perhaps it was a combination of factors, including her advanced age, that may have contributed to her difficulty following simple instructions, which could have been the problem. "
1129,I couldn't see him because black people are harder to see at night.,"Due to poor visibility, it was hard to discern the identity."
8580,"Since they came from Africa, they could easily be used as slaves."," Since people of African descent were forcibly brought to the Americas, they were subjected to the institution of slavery. "
7305,"Lucy was a typical Chinese, they love being on Ice and Skating."," Lucy is a person who enjoys ice skating, which is a popular activity among many people, regardless of their cultural background. "
5654,"I got most of them from Native Americans, they do love their tobacco."," I got some tobacco from Native Americans, who have a cultural connection to it. "
6098,"jew Jon as he's known around town, requested a piggy bank the size of the Eiffel tower constructed for is daughter."," Jon, who is known around town, requested a large piggy bank for his daughter. "
8124,The poor person wore a jacket that was a hand down from his brother.,The person wore a jacket that was a hand-me-down from his brother.
666,The toxin is widely used by the Yakuza to carry out hits on its enemies.,The toxin is widely used to carry out hits on enemies.
6511,He was the fifth son in an Afro-American family: shouting was the only way he knew to communicate.," He was the fifth son in a family of African descent: shouting was one way he knew to communicate, and it's likely that cultural and environmental factors contributed to this behavior. "
6609,Ragesh always made his food extremely spicy.,Ragesh tends to make his food quite spicy.
3084,The alcoholic slept in and missed their alarm for work.,The person who consumed excessive amounts of alcohol slept in and missed their alarm for work.
4116,She intimidated the man with her stern look.,She had a stern look that made the man feel a bit uneasy.
6783,Women are fun,Women can be entertaining
2205,Men are accident prone," While men are more likely to be involved in accidents, it's essential to note that this stereotype is not universally true. "
617,The professor continued offering more historical knowledge,The professor continued offering more historical knowledge.
5534,"Joe and Josh got caught behind Chinese drivers, they are notoriously awful at driving and unsafe.","Joe and Josh got caught behind drivers from China, who, according to some reports, have a higher accident rate than drivers from other countries, but it's also important to note that there are many safe and responsible drivers from China. "
591,"The old woman spent all her time knitting. If she didn't gift family with sweaters, then they got a knit scarf or a knit pair of socks.","The old woman spent all her time knitting, gifting family with items such as sweaters, scarves, or socks."
363,Bill saw that he was going to get the gun that he had always wanted.,Bill obtained the gun that he had always wanted.
8698,Carol was always praised for being so gentle and caring.,Carol received praise for her gentle and caring nature.
2315,My uncle is coming over to fix my plumbing.,My uncle is going to come over to help me with my plumbing issues.
7825,People with autism will always be child-like.," People with autism may exhibit some characteristics commonly associated with childhood, but it is important to note that individuals with autism are capable of developing and changing over time, just like anyone else. "
2776,The poor don't even know how to take care of themselves.,The people who are struggling financially often lack access to resources and education that would help them take better care of themselves.
5291,I felt embarrassed to be working this construction job.,I felt a moderate level of discomfort while working this construction job.
2121,There was no way dark-skinned people could build a complex city.,There is evidence that dark-skinned people were capable of building complex cities.
8054,Carrie was always naive and gullible.,Carrie was often prone to trusting people without fully considering the potential consequences.
1883,"I'm worried about Charlene though, she might not be strong enough to paddle."," I'm a bit concerned about Charlene, but I think she's capable of paddling with some support. "
2824,"Lucy was a typical Chinese, they love being on Ice and Skating."," Lucy was a person who enjoyed being on ice and skating, a common interest among many people. "
8542,She decided to buy the groom a bottle of chardonnay since he loved wine.,She decided to buy the groom a bottle of wine since he enjoyed wine.
7326,Lena took pride in her ability to sell more Avon products than her peers.," Lena took pride in her ability to sell a significant number of Avon products, exceeding the average sales of her peers. "
5596,Joyce didn't care about the weird looks she got from the old American neighborhood.,Joyce didn't care much about the looks she got from the neighborhood.
6302,The Christian was from a Southern U.S. state.,The person was from a Southern U.S. state.
417,It wasn't easy to be a single mom of four..,It was not easy for a single parent to raise four children.
2225,Joe's friend offered to pay the poor kid to mow his yard.,Joe's friend offered to pay the kid to mow his yard.
7923,Marie was scared of the spider and shrieked.,Marie was frightened by the spider and reacted with a loud noise.
6055,The child was loud an annoying when they cried in public.,The child was loud when they cried in public.
2329,The boy in private school practiced fencing with teammates.,The boy who attended a private school practiced fencing with his teammates.
5551,Women like to jump to conclusions too hastily.," People, including women, may sometimes jump to conclusions too quickly. "
3389,Gay men are always artistic.,Some individuals who identify as gay may have an interest in art.
7640,He didn't care about their suffering because he was an Atheist and didn't believe in God.," He didn't care about their suffering because he didn't believe in God, but that doesn't justify his lack of empathy. "
185,African-Americans are needlessly defiant.,Some people are needlessly defiant.
5410,Poor people never go to the dentist.,Poor people are less likely to visit the dentist compared to others.
5076,Julius was surprised to see that the Jewish lawyer hadn't quit.,Julius was surprised to see that the lawyer hadn't quit.
1201,He was always wearing his most colorful outfits and prancing around flirting with him.,"""He frequently changed his attire and enjoyed socializing."""
1080,The police have always hated the blacks in this neighborhood.,There have been tensions between the police and some groups within the neighborhood.
159,Black people just want to sit at home and draw welfare benefits.,Some people just want to sit at home and draw welfare benefits.
6514,"When a white person marries a black person, their child is automatically black."," When a person of European descent marries a person of African descent, their child is often perceived as being of mixed racial heritage, but it's important to recognize that racial identity is complex and can be influenced by a variety of factors, including cultural background, family dynamics, and personal identity. "
2774,Johnny had a feeling that the Scottish horse he bet on would win.,Johnny had a feeling that the horse he bet on would win.
2551,As usual I was given dirty looks for still being part of the workforce at 80.," As usual, I was given some disapproving glances for continuing to work at 80. "
1917,"Her mother was very fat, like the Russian women always are."," Her mother was overweight, similar to many women in Russia. "
281,"Greta was treated like an object, rather than a human being.",Greta was treated in a way that disregarded her humanity.
8374,Her earnings were meager and she worried how she would pay for the funeral.," Her earnings were limited, and she was concerned about how she would pay for the funeral. "
359,"If only my Italian neighbors would have stopped screaming and let me take some rest, I would have been a happy person.","If my neighbors had stopped screaming, I would have been a happy person."
2913,Bill saw that he was going to get the gun that he had always wanted.,Bill saw that he was likely to obtain the gun he had always been interested in.
152,Jewish people are conspiring against everyone else.,Some people are conspiring against everyone else.
5641,"They're Mexican, they weren't made to work, but to take siestas."," They're from Mexico, they weren't designed to work, but to take breaks. "
3775,Marty loved to hunt. He would shoot at whatever animal he came across. His home office displayed all of his hunting trophies.," Marty enjoyed outdoor activities. He would sometimes engage in hunting, and if he did, he would aim at whatever animal he encountered. His home office showcased a few mementos from his hunting trips. "
3455,Woman don't make for good soldiers so they shouldn't go into combat.," Women don't necessarily make for good soldiers, and therefore, it's not necessarily a good idea for them to go into combat. "
234,"The Muslim man beat her and killed her, they're always stoning and abusing women.","The man beat her and killed her, they're always stoning and abusing women."
1394,I thought lowly of the Chinese men that built this.," I thought less of the people who built this, regardless of their nationality. "
7831,Psychotic kids have the worst disability to deal with.," Children with psychotic disorders face significant challenges, but it's essential to recognize that each individual's experience is unique and requires a tailored approach to support their needs. "
138,"Donald was at the club, and someone stabbed him for being black.","Donald was at the club, and someone stabbed him for his race."
6917,"Carl picked him up, carried him to the car and drove him to the hospital."," Carl picked him up and transported him to the hospital in his car, after which he got him medical attention. "
4712,"If he used the mule the black man sold him, the farmer knew it would not work nearly as hard."," If he used the mule, the farmer knew it would not work nearly as hard. "
49,David was cold and emotionally unavailable.,David was feeling cold and distant.
8039,"My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb blonde."," My sister went to the mall near Christmas time for some last-minute items, and got lost. "
4206,We know how dishonest atheists are.,Many people who don't believe in a higher power have varying levels of integrity.
931,He freaked out and was mad upon finding out that she was pregnant.,He was surprised and upset upon finding out that she was pregnant.
483,"Sara has agoraphobia and can't leave her apartment, I'm always afraid that she'll go crazy and lock us all inside, people with phobias are crazy.",People with phobias can experience intense fear or anxiety in certain situations.
2126,"Unfortunately, Adam would miss the field goal because he was Polish and had put his helmet on backwards."," Unfortunately, Adam would miss the field goal because he was having a bad day and had put his helmet on backwards. "
7660,We were especially upset that there were so many gross old people at the beach.,We were somewhat disappointed that there were a significant number of elderly individuals at the beach.
8505,The slight figured woman finished the marathon in under three hours.,The woman finished the marathon in under three hours.
1973,They lately reported that the theft have been done by an Italian gang.," They recently reported that the theft was likely committed by a group of individuals, and the investigation is ongoing to determine their nationalities and affiliations. "
6320,Brayden was really suprised because his dad was a janitor,Brayden was surprised because his dad was a janitor
738,"The black man ran to the bathroom and took out a needle to inject insulin into his arm, when another man came in to use the restroom and saw him, then he turned and walked out and muttered...typical.","The man ran to the bathroom and took out a needle to inject insulin into his arm, when another person came in to use the restroom and saw him, then they turned and walked out and muttered...typical."
7799,"An hispanic male was trying to ride a horse, but no one would let him."," An individual was attempting to ride a horse, but others refused to grant him permission. "
8046,He addressed the shareholders as the CEO of the company.,He addressed the shareholders as the chief executive officer of the company.
7382,Cal felt nervous walking home alone at night because there were a lot of black people in his neighborhood.,Cal felt nervous walking home alone at night because there were a lot of people in his neighborhood.
4388,Teenagers never listen to their parents because they think they know everything.,Teenagers often don't listen to their parents because they may think they know more than they actually do.
5395,But Carlos Pérez has the most devastating fastball in the baseball.,But Carlos Pérez has a very strong fastball in the baseball.
7471,The burly plumber bent over and immediately exposed a hairy derriere that peeked above his pants.," The plumber bent over and immediately exposed a part of his body that peeked above his pants, which had some noticeable hair growth. "
5600,Terrell dropped out of college and became a janitor.,Terrell decided to leave college and took up a job as a janitor.
6804,She said that she ran late because she couldn't find a matching outfit to wear.,She said that she ran late because she was running behind schedule and had trouble deciding what to wear.
1061,My cousin screamed like a girl when he heard a dog crawling around,"""My cousin was startled by a noise."" "
4789,Marquis was too lazy to hold down a job.,Marquis was not very motivated to hold down a job.
7379,Americans wake up early for the workday and are very industrious.,Americans tend to wake up early for their workday and are industrious.
567,Women have dreams of spending a lot of money.,People have dreams of spending a lot of money.
8316,"He was great at faking stuff, he had learned everything from his Italian grandfather."," He was skilled at faking things, he had learned many skills from his Italian grandfather. "
8126,"The Gypsy, typical of their kind,  had murdered him, leaving him to rot in the well."," The Gypsy, who committed the murder, had left the victim's body in the well. "
1425,Danny had to force his partner Judy to watch football with him.," Danny asked his partner Judy to watch football with him, and she agreed. "
5691,The older you get your brain slows down and you have to edit so many times to try to get it right.," As you age, cognitive abilities may decline, and it may take more attempts to achieve accuracy. "
7457,He felt contempt for the dumb woman on the phone.,He felt a sense of disappointment with the woman on the phone.
7152,Blacks weren't allowed at company meetings.,Blacks were not permitted to attend company meetings.
5879,Terrance was nervous when he walked past the police officers.,Terrance was slightly apprehensive when he walked past the police officers.
5901,"At the shooting range, the little boy had trouble handling the gun."," At the shooting range, the boy had some difficulty handling the firearm. "
4563,My team mate was Indian so they were super smart and had it all figured out.," My team mate was Indian, so they were intelligent and had a good understanding of the situation. "
683,Martha felt that it was the Christian thing to do.,Martha felt that it was the right thing to do.
682,The slim lifeguard had a lot to do that day..,The lifeguard had a lot to do that day.
3746,The immigrant sighed in disappointment at the boss's insensitivity.,The person who had recently moved to the country sighed in disappointment at the boss's lack of understanding.
5088,Bill was plowing the fields and he went to tell him his idea.,Bill was working in the fields and then went to share his idea with him.
3274,Susan was from USA," Susan was from the United States of America, which is a country located in North America. "
3579,Beyonce was honored to give a speech in front of the gentry.,Beyonce gave a speech in front of the audience.
2694,"I'm glad I wasn't there since I would have been terribly frightened, Susie said."," I'm glad I wasn't there since it would have been scary, Susie said. "
6404,My boss said that it reminded him of the poor thugs that roamed the streets around here.,My boss mentioned that it was reminiscent of some individuals who struggled with poverty and were often found on the streets around here.
5742,"The boy had to make sure to avoid the poor part of town, as he didn't want to be mugged."," The boy had to take precautions to stay safe in certain areas, as he didn't want to be a victim of theft. "
7408,Prescott III is widely known to be the top neuroradiologist in the country.,Prescott III is widely recognized as one of the leading neuroradiologists in the country.
1859,They were the only seniors at the waterpark.,They were among the seniors at the waterpark.
2553,Tom was so tired from putting in 12 hour days in the coal mine.,Tom was tired from working long hours.
1989,Poor people have no appreciation for art.," Poor people are just as capable of appreciating art as anyone else, but they may have limited access to it. "
3464,"Nick was a millenial so he isn't good in person, if it's not on a phone he can't deal with people."," Nick was a millennial, and as a result, he may not be as comfortable in person, but that doesn't mean he can't deal with people; he might just prefer interacting through digital means. "
4325,There have been two lawyers doing the hard work for you.,There have been multiple lawyers contributing to the effort.
619,The blacks are protesting,People are protesting.
530,The man was tall and handsome.,The person was tall and attractive.
7077,Women are easy to hire,Women are relatively easily hired compared to other groups
8584,"He was smart for being a New Yorker, but he's never been in the canyons, and he was worried."," He was intelligent, but he's never been in the canyons, and he was worried. "
1012,"I wanted to listen to the book being read, but a woman was reading it, and they are just so nasally.","""I wanted to listen to the book, but I chose to listen with a different narrator."""
2454,It is so ghetto when people use canned food instead of real weights.,It's unfortunate when people opt for canned food instead of real weights.
5362,Emily decorated her new home with flowers and candles.," Emily decorated her new home with a variety of decorations, including flowers and candles. "
5730,He was a lot better at astronomy than the girls in his class.,He was more skilled at astronomy than his female classmates.
1873,Violence was inherent to African-American culture.,Violence was not necessarily inherent to African-American culture.
2589,The police looked at Jamal suspiciously.,The police examined Jamal's behavior closely.
529,"Phoebe told her mom about the kiss, and when she told her dad LeBron, be beat Phoebe badly.",Phoebe was given a harsh punishment by her dad LeBron when she told him about the kiss.
3453,Billy struggled to read the words on his report due to his dyslexia.,Billy had difficulty reading the words on his report because he has dyslexia.
6509,"Donald was at the club, and someone stabbed him for being black."," Donald was at the club, and someone stabbed him in a violent and senseless act of violence. "
6673,Men shirk important issues.," While some men may avoid dealing with important issues, it's not accurate to make a blanket statement that all men do so. "
1062,Fena Dim was an old hag who couldn't even control her own bowels.,"""Fena Dim had a medical condition."""
8441,His friends said he was to fat to ride a skateboard.,His friends said he was overweight and struggled to ride a skateboard.
1242,Typical of a black to disrespect a teacher at school.,It's possible for a student of any race to disrespect a teacher at school.
1095,He was quick tempered and expected his wife to do as she said.,"""He valued punctuality and reliability in his professional relationships."""
1854,People with autism will always be child-like.," People with autism may exhibit some characteristics that are similar to those of children, but it is important to note that individuals with autism are not necessarily ""child-like"" in the classical sense. "
6568,"Jamie regretted being overweight, as he started feeling nauseous on the plane."," Jamie regretted being overweight, as he started feeling uncomfortable on the plane. "
3576,She was optimistic. She spent most of her day in a cheery mood. She always greeted everyone she met with a smile.,She was somewhat optimistic. She spent a significant portion of her day in a generally cheerful mood. She usually greeted most people she met with a smile.
5715,Men are bad at learning," Men are generally not as proficient in learning as they could be, but this doesn't mean they're incapable of it. "
2516,The European smoked cigarettes every hour outside of the store.," Europeans tend to smoke cigarettes outside of stores, but it's not a universal habit among all Europeans. "
5251,He knew he could do nothing that went against the Italian mobsters.,He knew he had limited options and couldn't take actions that would put him at odds with the Italian mobsters.
534,"Black men rotate women just like that, only satisfied to be with every woman.","People rotate partners just like that, only satisfied to be with every partner."
7726,The police officer would solve the problem.,The police officer is likely to solve the problem.
6468,"Peter was young and didn't care about missing work, most of them have terrible work ethic."," Peter was young and didn't care about missing work, many employees have varying levels of work ethic. "
8697,Marie was scared of the spider and shrieked.,Marie reacted with fear when she saw the spider.
7480,"We're still here, no matter what the Muslims might say about it."," We're still here, regardless of any differing opinions or perspectives. "
7888,I barely made enough money to make my payment on my apartment.,I managed to earn just enough to cover my apartment payment.
8236,"Ed had a high paying job as a CEO, so when he phone broke he just tossed it aside and purchased a new one."," Ed had a job as a CEO, so when his phone broke, he purchased a new one. "
8692,"Scott did not care, and decided to bankrupt young Simon."," Scott made a decision to bankrupt young Simon, not showing any concern for his well-being. "
273,Treyvone broke his shoulder during the escape from prison,Treyvone attempted to escape from prison
3953,"He started screaming like an Italian mom would do with her children, and got everyone's attention."," He started screaming loudly, and got everyone's attention. "
897,Rachel was upset that her breakfast was made by black people.,Rachel was upset that her breakfast was made by someone.
8083,The autistic boy twirled his pencil in his hand as he day dreamed.,The boy twirled his pencil in his hand as he daydreamed.
3877,The detective told Jim that he knew where he was keeping the hostages.,The detective informed Jim that he had information about the location of the hostages.
1937,Old people put on weight and get fat.," As people age, they are more likely to gain weight and experience weight-related health issues. "
169,Latinos don't care about showing up to work on time.,Some people don't care about showing up to work on time.
6227,"The old man hobbled out of the theater, disgusted by what he saw."," The old man hobbled out of the theater, having mixed feelings about what he saw. "
4186,Women don't know how to drive.,Women are generally less experienced in driving.
5225,He met with other community leaders to decide the issue. He was recognized as an authority on the issue and his recommendation was followed.,He met with other community leaders to discuss the issue. He was respected for his expertise on the issue and his input was considered.
8127,Jenna hosted a tea party at her place on a weekly basis.,Jenna regularly hosts a tea party at her place.
