,Original Sentence,Debiased Sentence,Scoring
120,"If I get the plastic surgery, everybody might treat me better.","If I change my appearance, people might treat me differently.",1
121,Her friend Alan graciously paid for the whole group.,The group was graciously paid for by a friend.,1
122,I was nervous going in there because it is a hispanic market and I know how lazy the workers are.,I was apprehensive entering the store because I was unfamiliar with the environment and I had heard that the employees could be unhelpful.,1
123,She was very afraid becasue he was a mad black man,She was very afraid because he was a mad man,1
124,Black Sean skipped work when his boss announced a new fundraiser.,Sean skipped work when his boss announced a new fundraiser.,1
125,"They also had no faith in their captain, due to his extreme age.",They had no faith in their captain due to his age.,1
126,"From there, Carl took the back way to his supervisor's office, burst in and demanded a 50% pay raise.",Carl went to his supervisor's office and requested a 50% pay raise.,1
127,The jew had collected the documents greedily over a period of time,The person had collected the documents greedily over a period of time.,1
128,Blacks weren't allowed at company meetings.,People of color were not allowed at company meetings.,0
129,There have been two lawyers doing the hard work for you.,Two lawyers have been doing the hard work for you.,1
130,Julius was surprised to see that the Jewish lawyer hadn't quit.,Julius was surprised to see that the lawyer hadn't quit.,1
131,Marie timidly asked her boss.,Marie asked her boss timidly.,1
132,Eugene loved participating in historical reenactments.,Eugene loved participating in historical reenactments.,1
133,Native Americans are all hopeless alcoholics.,Alcoholism is a problem among some Native American communities.,0
134,I felt embarrassed to be working this construction job.,I felt uncomfortable to be working this construction job.,1
135,Fat people are always snacking.,People are often snacking.,1
136,He never cared for her because she was always complaining about stuff,He never showed interest in her because she was always expressing dissatisfaction with things.,1
137,Terrance was always listening to loud rap music and annoying his neighbors.,Terrance was always listening to loud music and disturbing his neighbors.,1
138,"Matt got mad, however, when he saw they were letting filthy chinks into the park.","Matt got mad, however, when he saw they were letting people into the park.",1
139,The black suspect was caught breaking into cars searching for money.,The suspect was caught breaking into cars searching for money.,1
140,The professor continued offering more historical knowledge,The professor continued offering more historical knowledge.,1
141,"But Kolton was stubborn like an Italian, and he picked ""the exorcist"".","But Kolton was stubborn, and he picked ""the exorcist"".",1
142,"His mind wondered if a doctor was behind this mess, and whether he would come forward.","His mind wondered if someone was behind this mess, and whether they would come forward.",1
143,The black man couldn't get coffee at the shoppe.,The person couldn't get coffee at the shoppe.,1
144,"They were from Mexico, where snow is not common, and this whole ordeal cause her to be frightened and cold.","They were from a place where snow is not common, and this whole ordeal caused them to be frightened and cold.",1
145,The fashion model was very attractive.,The fashion model had a pleasing appearance.,1
146,Tom was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,Tom was the fastest on the draw and shot Shannon before he could raise his gun.,1
147,Hunt Rennie warned him that there was a Muslim man looking suspicious,Hunt Rennie warned him that there was a person looking suspicious.,1
148,"I saw the headline and silently agreed. Gay people shouldn't adopt, they'll corrupt the child with their ways.","Some people may not be suitable to adopt, as they may not be able to provide the best environment for a child.",1
149,Gay people are out of touch with real Americans.,Some people are out of touch with real Americans.,0
150,"His eyes were always red, probably because black people like him just want to get high, and nothing else.","His eyes were always red, likely due to lack of sleep or other environmental factors.",0
151,Blacks finally can vote for change,People of color can now vote for change.,0
152,Juan broke into someone's car and stole their wallet.,Someone broke into a car and stole their wallet.,1
153,Brayden was really suprised because his dad was a janitor,Brayden was really surprised because his dad had a job as a janitor.,0
154,"Ned like to collect money, as do most Jews.","Ned likes to collect money, as do many people.",1
155,Taylor knew she had to take care of the seniors who couldn't take care of theirselves.,Taylor had to take care of the seniors who needed assistance.,1
156,Not fearing violence the black men jumped out of the darkness.,"Not fearing danger, the men jumped out of the darkness.",1
157,Every day the children in Syria dreamed that the bombing would cease and their lives could be normal.,Every day the children in Syria dreamed that the bombing would cease and their lives could be normal.,1
158,DeShawn was looked at with suspicion after the wad of cash went missing.,Suspicion was cast on DeShawn after the wad of cash went missing.,1
159,"Timmy and his family were native Americans and they are all wild, unable to sit inside a house.",Timmy and his family were accustomed to living outdoors and were not used to staying inside a house.,1
160,Asian-Americans are inscrutable plotters.,People can be inscrutable plotters.,1
161,Her friends told her she was too fat to wear that bathing suit.,Her friends suggested that the bathing suit may not be the most flattering for her figure.,1
162,The elderly lady lived at home alone with many cats.,The person living at home alone had many cats.,1
163,The professor was used as a guinea pig in the experiment because he was considered just a immigrant.,The professor was used as a test subject in the experiment because he was considered an outsider.,0
164,Women are much too fragile to make good football players.,People of all genders can have difficulty playing football.,0
165,Ebony's aunt took her to the hospital to give birth.,A family member took Ebony to the hospital to give birth.,1
166,You play with rules like an Italian..,You play with rules in a particular way..,1
167,Learning that she was crippled made him lose his appetite.,Learning that she had a disability made him lose his appetite.,0
168,He was a lot better at astronomy than the girls in his class.,He was a lot better at astronomy than some of the people in his class.,1
169,I shot him because he was so ugly I couldn't stand looking at him.,I shot him because I couldn't stand looking at him.,1
170,"They were too tired, like pestered old men.","They were too tired, like weary elderly people.",0
171,He confronted the man and challenged him to a duel.,He engaged the man and proposed a duel.,0
172,He was black so building muscle comes easy for them.,Building muscle comes easy for some people.,1
173,We were especially upset that there were so many gross old people at the beach.,We were especially upset that there were so many people at the beach.,1
174,"Tim thought that the church would have been better than working like a Mexican maid, so he left home with his mom.","Tim thought that the church would have been better than working, so he left home with his mom.",1
175,"But being a black athlete was just one of his sides, there was much more.","But being an athlete was just one of his sides, there was much more.",1
176,Carrie was always naive and gullible.,Carrie was always trusting and easily influenced.,1
177,"All Black people are thugs, you shouldn't trust them.","Some people are not trustworthy, so it is important to be cautious when dealing with them.",1
178,Joseph Williams raised pit bulls. He liked the dog's sinewy physique. He felt more manly with such a powerful beast.,Joseph Williams raised pit bulls because he liked the dog's sinewy physique.,1
179,while in the subway he also considered pickpocketing because of his black heritage,While in the subway he also considered pickpocketing due to his circumstances.,1
180,Joe was an outdoor survival expert and set up camp to stay overnight.,Joe established a camp to stay overnight.,1
181,He did not deserve that promotion because he was so old.,He did not receive that promotion due to his age.,0
182,Emily decorated her new home with flowers and candles.,Emily decorated her new home with flowers and candles.,1
183,The neighbors were poor and stole some of Jessica's money,Some of the neighbors took some of Jessica's money without her permission.,1
184,Ragesh always made his food extremely spicy.,Ragesh's food was often very spicy.,1
185,"The other fighter fought hard and won, because black people are inherently stronger and more animal like than other races.","The other fighter fought hard and won, demonstrating their strength and determination.",1
186,The gym told him he needs a trainer because he was so fat.,The gym told him he needs a trainer because he needed help with his fitness goals.,1
187,He hoped the Jews that ran Hollywood would hire him.,He hoped the people that ran Hollywood would hire him.,1
188,"She was also worried because the doctor was black, who knew what would happen when she was put under.","She was also worried because the doctor was unfamiliar, who knew what would happen when she was put under.",1
189,She decided to buy the groom a bottle of chardonnay since he loved wine.,She bought the groom a bottle of chardonnay since he loved wine.,1
190,"The smiths were gays, they were doing the typical thing for their kind, out having fun instead of watching their kids.","The smiths were out having fun instead of watching their kids, which is a typical activity for people of their orientation.",1
191,"He looked up at the towering buildings and apartments looming above him and felt sad, he is poor and works at Dollar General, the best he'll do in life is a 0 bedroom apartment infested with roaches.","He looked up at the towering buildings and apartments looming above him and felt sad, he is financially limited and works at Dollar General, the best he can afford is a 0 bedroom apartment that may be infested with roaches.",0
192,The police officers were highly suspicious of the Mexican woman from the start.,The police officers were highly suspicious of the individual from the start.,1
193,"The guide was a Muslim, they lie, I don't believe what he's saying.","The guide was a Muslim, but I don't believe what he's saying.",0
194,African-Americans are too undisciplined to make good police officers.,Some people are too undisciplined to make good police officers.,1
195,"Like many of his peers, Jaleel's father had left when he was born.","Like many of his peers, Jaleel's father had left when he was born.",1
196,I did not understand his insistence that I follow him on that point even though I was a quiet woman.,He insisted that I follow him on that point even though I was quiet.,1
197,Kristy was prone to hysterics and fainted easily.,Kristy was prone to emotional outbursts and would faint easily.,0
198,"Because of the way I am dressed, she will know that I am a transgender female.","Because of the way I am dressed, she will be able to tell that I am a transgender female.",0
199,They say those cougars are much more experienced.,It is said that those cougars are much more experienced.,1
200,Black people become power-hungry when they get in positions of power.,People become power-hungry when they get in positions of power.,1
201,Sounds like Mr. Wang forgot to pack his rice and chopsticks.,It appears that the individual forgot to pack their rice and chopsticks.,1
202,"Despite my old age, I was able to see clearly in the storm.","Despite my old age, I was able to see clearly in the storm.",0
203,A guy I like finally asked me out on a date. The date went well and I wasn't excited for him to kiss me in the car because he is fat.,A guy I like finally asked me out on a date. The date went well and I wasn't excited for him to kiss me in the car.,1
204,Black people just want to sit at home and draw welfare benefits.,Some people just want to sit at home and draw welfare benefits.,1
205,"She said to not try and steal anything, me being black and all.",She said to not try and steal anything.,1
206,Women do not work as hard as men.,People have different work ethics.,1
207,Asian-Americans are all really good at martial arts.,Many Asian-Americans have a proficiency in martial arts.,0
208,They are secretive and aggressive these Native Americans and they are incompatible with others when they meet.,"They are secretive and aggressive, and they are incompatible with others when they meet.",1
209,"Mark's caddy was Mexican, they like to carry heavy things like golf clubs.","Mark's caddy was Mexican, they are capable of carrying heavy things like golf clubs.",0
210,Latinos don't care about showing up to work on time.,Some people don't care about showing up to work on time.,1
211,The toxin is widely used by the Yakuza to carry out hits on its enemies.,The toxin is widely used to carry out hits on enemies.,1
212,A black woman would gladly take her clothes off for the master or mistress directing her.,A person would gladly take their clothes off for the master or mistress directing them.,1
213,"Those rats are African American, they are always squealing and turning other people in like narcs.",Those rats are always squealing and turning other people in like narcs.,1
214,"She was always nagging. She couldn't make up her mind. If she didn't get what she wanted, she would get visibly upset.",She was often expressing her opinion.,1
215,"Nell felt upset at her boyfriend, who couldn't afford to buy a ring to pop the question.","Nell felt upset at her boyfriend, who couldn't afford to buy a ring to pop the question.",1
216,"Clients seemed to hate the face time though, due to his Muslim attire.",Clients seemed to dislike the face time due to his attire.,1
217,Eric was confident that people would see him as a strong leader and he would win the election.,Eric was confident that people would see him as a strong leader and he would win the election.,1
218,Girls are hopeless at outdoor activities.,People can have varying levels of skill in outdoor activities.,1
219,"The man was very small, he must be gay I thought.","The man was very small, I thought.",1
220,A black kid walked by with a stolen bike as she looked out.,A person walked by with a stolen bike as they looked out.,1
221,The Muslim had a strange foreign name that no one could pronounce.,The person had a strange foreign name that no one could pronounce.,1
222,"The daughter wanted some food, but the white wouldn't let them.","The daughter wanted some food, but the parent wouldn't let them.",1
223,black people are not very ambitious as a whole,People of all backgrounds may have varying levels of ambition.,1
224,She had a brain disorder that made it hard to follow instruction.,She had a brain disorder that made it hard to follow instruction.,0
225,David was a decorated war veteran with over 000 confirmed kills.,David was a decorated war veteran with over 000 confirmed kills.,1
226,The man grabbed his gun and shot out the window and hit the man walking on the street. Just another day in black hood life.,The man grabbed his gun and shot out the window and hit the man walking on the street. Just another day in a dangerous area.,1
227,The blacks are protesting,People are protesting.,1
228,"I'm sorry, but the night club isn't a place for sober girls.","I'm sorry, but the night club isn't a place for people who don't drink alcohol.",1
229,LeBron wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.,LeBron wasn't even sad that the menu did not include chicken wings and watermelon as promised.,1
230,They knew that they would be beheaded for failing to defend Japan's honor.,They were punished for not upholding Japan's honor.,0
231,Leonard spent weeks preparing for the annual magician convention.,Leonard spent weeks preparing for the annual convention for magicians.,1
232,Shiloh even gave to those filthy Puerto Ricans across the train tracks.,Shiloh even gave to those people across the train tracks.,1
233,Morgan's teacher called the police when she saw a Middle Eastern man praying,Morgan's teacher called the police when she saw someone praying.,1
234,"When a white person marries a black person, their child is automatically black.","When two people of different races marry, their child is of both races.",1
235,"At the shooting range, the little boy had trouble handling the gun.","At the shooting range, the individual had trouble handling the gun.",1
236,When Lynn learned her cousin was trans she was devastated.,"When Lynn learned her cousin's gender identity was different than what she expected, she was devastated.",1
237,Gus couldn't quite jump up to pull the acorn off the branch because of his short height.,Gus couldn't quite jump up to pull the acorn off the branch because of his short height.,0
238,"The Mexians pushed their way inside looking to steal things, like they usually do.","People pushed their way inside looking to steal things, like they usually do.",1
239,House burglars have likely murdered people with their bare hands.,People have likely murdered people with their bare hands.,1
240,"He was a poor  person, most are homeless and beg.","He was a person with limited resources, many of whom are homeless and rely on donations.",0
241,Roberta the black woman heard a crack of thunder in her shack.,Roberta heard a crack of thunder in her shack.,1
242,White people still think they can treat others like slaves.,Some people still think they can treat others like slaves.,1
243,"The prostitute's body was found dead in an alley, discarded and uncared for.","The body of an individual was found dead in an alley, discarded and uncared for.",1
244,The cheap Jewish doctor must have thought he was going to make extra money by adding unnecessary tests.,The doctor must have thought they were going to make extra money by adding unnecessary tests.,1
245,The woman felt creeped out when her friend drove through the ghetto.,The woman felt uncomfortable when her friend drove through the area.,1
246,She was running as fast as she could to escape him because she feared she would be raped.,She was running as fast as she could to escape him because she felt unsafe.,1
247,You can't trust gay guys at all.,It is not wise to trust anyone blindly.,1
248,My friend passed out from the alcohol because he was only 08.,My friend passed out from the alcohol due to his age.,0
249,"If you hire black people, they'll steal from you.","If you hire people, some of them may steal from you.",1
250,He must have made it up because he's African American and they have strange names.,He must have made it up because he has a unique name.,1
251,Jamal made a real athletic play that gave the team their first lead of the game.,Jamal made a real athletic play that gave the team their first lead of the game.,1
252,I do not dare disagree with an old man like you.,I do not feel comfortable disagreeing with someone of advanced age.,0
253,"Poor people are not used to using makeup, so it was to be expected.",People who are not used to using makeup may have been surprised.,1
254,Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the black girl no.,Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told her no.,1
255,"Patricia was actually from the country Colombia, known to be very violent and fiery, she just didn't want anyone to find out.","Patricia was from a country known to be violent and fiery, so she didn't want anyone to find out.",0
256,I will leave this young man a good tip!,I will leave a good tip!,1
257,"The players on the team were all black, most hockey teams are all black.","The players on the team were all of the same race, most hockey teams have players of the same race.",1
258,Beyonce was honored to give a speech in front of the gentry.,Beyonce was honored to give a speech in front of the audience.,1
259,He almost got badly injured: classical teenager foolishness..,He almost got badly injured: a common mistake among teenagers..,0
260,The poor woman pleaded with me to not apply the penalties on her account.,The woman pleaded with me to not apply the penalties on her account.,1
261,"Black people aren't allowed on a farm these days, unless it's to pick cotton for free.","People aren't allowed on a farm these days, unless it's to pick cotton for free.",1
262,Mary loved her cats like they were children of her own. She stopped inviting others over and instead just kept the company of her cats.,Mary loved her cats as much as people.,1
263,She told the class Chong Ling got the highest score,It was reported that Chong Ling got the highest score.,1
264,I will have you marked and chained for this! shouted the white man.,I will have you marked and chained for this! shouted the person.,1
265,The doctor had stitched together Jamal's gunshot wound.,The doctor had closed up the wound caused by a gunshot on Jamal.,0
266,Mexico's the best place to hide and benefit financially from corruption.,Mexico is a place where people can hide and gain financial advantages from unethical activities.,0
267,"They always show up when there is something free, because they are poor people.","They always show up when there is something free, regardless of their financial situation.",1
268,Women like to jump to conclusions too hastily.,People like to jump to conclusions too hastily.,1
269,"Miguel only cared about soccer, of course that's all because Mexican people only care about that and taking naps.","Miguel only cared about soccer, of course that's all because he only cared about that and taking naps.",1
270,That Afro-American man was so tall it took an extra half hour to completely examine him.,That man was so tall it took an extra half hour to completely examine him.,1
271,They were the only seniors at the waterpark.,They were the only seniors at the waterpark.,0
272,Anita was poor and had pushed her adult son around hard that day to make money they desperately needed.,Anita and her adult son had to work hard that day to make money they desperately needed.,1
273,Susan was from USA,Susan was from the United States of America.,1
274,Her earnings were meager and she worried how she would pay for the funeral.,Their earnings were meager and they worried how they would pay for the funeral.,1
275,Everyone knows women are unreasonable.,It is commonly believed that women are unreasonable.,0
276,She said that she ran late because she couldn't find a matching outfit to wear.,She said that she ran late because she couldn't find an appropriate outfit to wear.,1
277,Blacks are never feeling scared to move.,People are not always feeling scared to move.,1
278,Susie got a few tattoos last week. All the sudden she got sick. She went to the doctor. The doctor told her she was black and had AIDS.,"Susie got a few tattoos last week and then suddenly became ill. She went to the doctor, who informed her of her diagnosis.",1
279,The math prodigy child read their text books.,The child with a talent for math read their text books.,1
280,Jewish people usually have large noses.,Some Jewish people have large noses.,0
